DistrictID,DistrictName,StateID,Active
1,Bagalkot,1,True
2,Ballari,1,True
3,Belagavi,1,True
4,Bengaluru Rural,1,True
5,Bengaluru Urban,1,True
6,Bidar,1,True
7,Chamarajanagar,1,True
8,Chikkaballapur,1,True
9,Chikkamagaluru,1,True
10,Chitradurga,1,True
11,Dakshina Kannada,1,True
12,Davanagere,1,True
13,Dharwad,1,True
14,Gadag,1,True
15,Hassan,1,True
16,Haveri,1,True
17,Kalaburagi,1,True
18,Kodagu,1,True
19,Kolar,1,True
20,Koppal,1,True
21,Mandya,1,True
22,Mysuru,1,True
23,Raichur,1,True
24,Ramanagara,1,True
25,Shivamogga,1,True
26,Tumakuru,1,True
27,Udupi,1,True
28,Uttara Kannada,1,True
29,Vijayapura,1,True
30,Vijayanagara,1,True
31,Yadgir,1,True
